### QueryPerformanceFrequency = 10000000 Hz ###
6269119594563,arrve=,0x00000000005203B1, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119595982,arrve=,0x0000000022D20CF5, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119596955,arrve=,0x0000000006750CDD, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119597837,arrve=,0x0000000000020049, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119598590,arrve=,0x000000000002004D, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119599472,arrve=,0x0000000000020260, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119600408,arrve=,0x0000000000020047, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119601139,arrve=,0x000000000002004B, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269152088322,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626913843 0)
6269152532128,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626913875 0)
6269153300840,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626913953 0)
6269153303567,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029020300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626913953 0)
6269153462338,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626913968 0)
6269154241697,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914046 0)
6269154244331,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914062 0)
6269154843077,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914109 0)
6269155310944,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914156 0)
6269155459462,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029020300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626914171 0)
