### QueryPerformanceFrequency = 10000000 Hz ###
3076683630,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,5, dy=,1, os=,(819 256 307421 0)
3076695041,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,6, dy=,1, os=,(824 257 307437 0)
3076843398,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,7, dy=,1, os=,(829 258 307437 0)
3076854503,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,9, dy=,1, os=,(836 259 307453 0)
3076993123,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,8, dy=,0, os=,(845 260 307453 0)
3077147323,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,7, dy=,0, os=,(853 260 307468 0)
3077148560,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,7, dy=,0, os=,(860 260 307468 0)
3077167349,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,5, dy=,0, os=,(867 260 307484 0)
3077304199,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,4, dy=,0, os=,(871 260 307484 0)
3077455795,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,2, dy=,0, os=,(874 260 307500 0)
3077457066,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,2, dy=,-1, os=,(875 260 307500 0)
3077615287,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(877 260 307515 0)
3077616520,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,2, dy=,0, os=,(877 260 307515 0)
3077772459,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,2, dy=,0, os=,(878 260 307531 0)
3077773711,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,2, dy=,-1, os=,(880 260 307531 0)
3077922188,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(881 260 307546 0)
3077923400,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(882 260 307546 0)
3078082195,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(882 260 307562 0)
3078083223,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(883 260 307562 0)
3078232322,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,2, dy=,0, os=,(883 260 307578 0)
3078233578,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(885 260 307578 0)
3078392673,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(885 260 307593 0)
3080407136,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(886 260 307796 0)
3080408547,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(886 260 307796 0)
3080560577,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,3, dy=,-1, os=,(887 260 307812 0)
3080561845,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,-1, os=,(889 259 307812 0)
3080723058,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(889 259 307828 0)
3080724376,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,3, dy=,-1, os=,(890 259 307828 0)
3080873880,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(892 258 307843 0)
3081033155,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(892 258 307859 0)
3089236752,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-4, dy=,0, os=,(893 258 308671 0)
3089238657,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-7, dy=,0, os=,(891 258 308687 0)
3089246182,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-8, dy=,0, os=,(885 258 308687 0)
3089394838,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-10, dy=,0, os=,(877 258 308703 0)
3089407610,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-12, dy=,0, os=,(867 258 308703 0)
3089552596,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-14, dy=,0, os=,(853 258 308718 0)
3089702154,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-14, dy=,0, os=,(837 258 308718 0)
3089703158,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-14, dy=,0, os=,(821 258 308734 0)
3089862361,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-12, dy=,0, os=,(804 258 308734 0)
3089863558,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-10, dy=,0, os=,(791 258 308750 0)
3090012032,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-8, dy=,0, os=,(780 258 308750 0)
3090013358,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-5, dy=,1, os=,(772 258 308765 0)
3090171439,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-1, dy=,0, os=,(768 258 308765 0)
3090172727,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-1, dy=,0, os=,(767 258 308781 0)
3090321676,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-1, dy=,0, os=,(767 258 308781 0)
3090786058,mouse=,0x0000000000010039, bflg=,0x0001, bdta=,0x0000, dx=,0, dy=,0, os=,(766 258 308828 0)
3092028492,mouse=,0x0000000000010039, bflg=,0x0002, bdta=,0x0000, dx=,0, dy=,0, os=,(766 258 308953 0)
