### QueryPerformanceFrequency = 10000000 Hz ###
3113613754,arrve=,0x000000000001048F, =,, =,, =,, =,, os=,(827 260 311125 0)
3113614662,arrve=,0x00000000000501C9, =,, =,, =,, =,, os=,(827 260 311125 0)
3113615282,arrve=,0x000000000002004B, =,, =,, =,, =,, os=,(827 260 311125 0)
3113615849,arrve=,0x000000000002004D, =,, =,, =,, =,, os=,(827 260 311125 0)
3113616395,arrve=,0x0000000000020051, =,, =,, =,, =,, os=,(827 260 311125 0)
3113616927,arrve=,0x0000000000020053, =,, =,, =,, =,, os=,(827 260 311125 0)
3113617452,arrve=,0x000000000002004F, =,, =,, =,, =,, os=,(827 260 311125 0)
3113617969,arrve=,0x0000000000020055, =,, =,, =,, =,, os=,(827 260 311125 0)
3167589105,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 316515 0)
3169610477,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 316718 0)
3171301343,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 316890 0)
3172699139,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 317015 0)
3174250370,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 317187 0)
3175327831,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 317281 0)
3176713779,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 317421 0)
3178717049,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 317625 0)
3180099515,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029070800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 317765 0)
3181490350,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029070809000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 317890 0)
3185365495,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029070800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 318296 0)
3185674392,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 318328 0)
3185984101,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 318343 0)
3187834775,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 318531 0)
3189234677,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029070800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 318671 0)
3189552155,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029070809000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 318703 0)
3192033131,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(986 492 318968 0)
3280659212,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 327812 0)
3284851690,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 328234 0)
3288405252,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 328593 0)
3289960815,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 328750 0)
